Trying seed 0
25600000 enq, 8230 curr, 27 best, 2046.71 s
25700000 enq, 6161 curr, 27 best, 2057.30 s
25800000 enq, 5535 curr, 27 best, 2067.14 s
25900000 enq, 7713 curr, 27 best, 2076.94 s
26000000 enq, 6843 curr, 27 best, 2084.58 s
26100000 enq, 8870 curr, 27 best, 2091.11 s
26200000 enq, 6135 curr, 27 best, 2099.19 s
26300000 enq, 8142 curr, 27 best, 2107.44 s
26400000 enq, 7779 curr, 27 best, 2115.67 s
26500000 enq, 12717 curr, 27 best, 2123.29 s
26600000 enq, 12551 curr, 27 best, 2132.77 s
26700000 enq, 11327 curr, 27 best, 2143.77 s
26800000 enq, 7226 curr, 27 best, 2151.75 s
26900000 enq, 8060 curr, 27 best, 2159.14 s
27000000 enq, 15301 curr, 27 best, 2168.08 s
27100000 enq, 27249 curr, 27 best, 2177.77 s
27200000 enq, 29250 curr, 27 best, 2187.69 s
27300000 enq, 33110 curr, 27 best, 2197.99 s
27400000 enq, 33750 curr, 27 best, 2208.36 s
27500000 enq, 32301 curr, 27 best, 2221.07 s
27600000 enq, 29412 curr, 27 best, 2230.18 s
27700000 enq, 31731 curr, 27 best, 2238.73 s
27800000 enq, 30192 curr, 27 best, 2252.98 s
27900000 enq, 29141 curr, 27 best, 2263.68 s
28000000 enq, 5701 curr, 27 best, 2275.61 s
28100000 enq, 24653 curr, 27 best, 2286.00 s
28200000 enq, 28478 curr, 27 best, 2295.25 s
28300000 enq, 32523 curr, 27 best, 2305.33 s
28400000 enq, 34881 curr, 27 best, 2319.03 s
28500000 enq, 32208 curr, 27 best, 2333.16 s
28600000 enq, 27583 curr, 27 best, 2345.65 s
28700000 enq, 28693 curr, 27 best, 2356.78 s
28800000 enq, 6016 curr, 27 best, 2372.21 s
28900000 enq, 8789 curr, 27 best, 2378.58 s
29000000 enq, 8280 curr, 27 best, 2385.72 s
29100000 enq, 8271 curr, 27 best, 2394.07 s
29200000 enq, 7334 curr, 27 best, 2401.77 s
29300000 enq, 8193 curr, 27 best, 2411.37 s
29400000 enq, 10537 curr, 27 best, 2421.42 s
29500000 enq, 12837 curr, 27 best, 2428.11 s
29600000 enq, 10050 curr, 27 best, 2436.18 s
29700000 enq, 14121 curr, 27 best, 2445.36 s
29800000 enq, 14178 curr, 27 best, 2455.15 s
29900000 enq, 10416 curr, 27 best, 2465.65 s
30000000 enq, 10688 curr, 27 best, 2473.25 s
30100000 enq, 11799 curr, 27 best, 2482.70 s
30200000 enq, 16693 curr, 27 best, 2490.99 s
30300000 enq, 14212 curr, 27 best, 2502.25 s
30400000 enq, 16401 curr, 27 best, 2510.80 s
30500000 enq, 14590 curr, 27 best, 2519.74 s
30600000 enq, 11913 curr, 27 best, 2529.38 s
30700000 enq, 13835 curr, 27 best, 2539.17 s
30800000 enq, 13434 curr, 27 best, 2548.01 s
30900000 enq, 14678 curr, 27 best, 2556.27 s
31000000 enq, 11179 curr, 27 best, 2563.78 s
31100000 enq, 12694 curr, 27 best, 2572.02 s
31200000 enq, 12486 curr, 27 best, 2582.74 s
31300000 enq, 14923 curr, 27 best, 2589.84 s
31400000 enq, 17814 curr, 27 best, 2596.53 s
31500000 enq, 16402 curr, 27 best, 2604.74 s
31600000 enq, 17942 curr, 27 best, 2612.64 s
31700000 enq, 16322 curr, 27 best, 2620.41 s
31800000 enq, 16393 curr, 27 best, 2629.85 s
31900000 enq, 16806 curr, 27 best, 2638.14 s
32000000 enq, 15560 curr, 27 best, 2647.44 s
32100000 enq, 16814 curr, 27 best, 2656.23 s
32200000 enq, 16929 curr, 27 best, 2667.26 s
32300000 enq, 17981 curr, 27 best, 2674.15 s
32400000 enq, 16403 curr, 27 best, 2680.29 s
32500000 enq, 17023 curr, 27 best, 2690.46 s
32600000 enq, 17026 curr, 27 best, 2699.93 s
32700000 enq, 20288 curr, 27 best, 2707.87 s
32800000 enq, 20140 curr, 27 best, 2718.84 s
32900000 enq, 20726 curr, 27 best, 2730.05 s
33000000 enq, 18949 curr, 27 best, 2740.77 s
33100000 enq, 21080 curr, 27 best, 2756.28 s
33200000 enq, 21853 curr, 27 best, 2765.21 s
33300000 enq, 34841 curr, 27 best, 2774.01 s
33400000 enq, 43004 curr, 27 best, 2784.86 s
33500000 enq, 43999 curr, 27 best, 2796.11 s
33600000 enq, 44053 curr, 27 best, 2807.97 s
33700000 enq, 20704 curr, 27 best, 2819.15 s
33800000 enq, 39399 curr, 27 best, 2833.31 s
33900000 enq, 41916 curr, 27 best, 2841.70 s
34000000 enq, 40593 curr, 27 best, 2851.41 s
34100000 enq, 30127 curr, 27 best, 2864.88 s
34200000 enq, 20040 curr, 27 best, 2875.72 s
34300000 enq, 20076 curr, 27 best, 2886.13 s
34400000 enq, 20580 curr, 27 best, 2895.23 s
34500000 enq, 21912 curr, 27 best, 2903.74 s
34600000 enq, 23628 curr, 27 best, 2916.30 s
34700000 enq, 25257 curr, 27 best, 2924.24 s
34800000 enq, 34639 curr, 27 best, 2933.96 s
34900000 enq, 31877 curr, 27 best, 2945.28 s
35000000 enq, 32739 curr, 27 best, 2957.03 s
35100000 enq, 33736 curr, 27 best, 2967.42 s
35200000 enq, 39332 curr, 27 best, 2978.57 s
35300000 enq, 33970 curr, 27 best, 2991.28 s
35400000 enq, 32733 curr, 27 best, 3004.73 s
35500000 enq, 31434 curr, 27 best, 3013.14 s
35600000 enq, 24863 curr, 27 best, 3021.76 s
35700000 enq, 37541 curr, 27 best, 3032.45 s
35800000 enq, 32640 curr, 27 best, 3047.57 s
35900000 enq, 46471 curr, 27 best, 3057.97 s
36000000 enq, 47984 curr, 27 best, 3071.45 s
36100000 enq, 43780 curr, 27 best, 3098.94 s
36200000 enq, 42837 curr, 27 best, 3111.19 s
36300000 enq, 23343 curr, 27 best, 3121.59 s
36400000 enq, 26649 curr, 27 best, 3129.77 s
36500000 enq, 24091 curr, 27 best, 3143.71 s
36600000 enq, 28833 curr, 27 best, 3151.59 s
36700000 enq, 33236 curr, 27 best, 3160.14 s
36800000 enq, 30659 curr, 27 best, 3167.82 s
36900000 enq, 29576 curr, 27 best, 3176.56 s
37000000 enq, 34311 curr, 27 best, 3187.05 s
37100000 enq, 29264 curr, 27 best, 3197.30 s
37200000 enq, 32691 curr, 27 best, 3206.62 s
37300000 enq, 28475 curr, 27 best, 3220.32 s
37400000 enq, 32062 curr, 27 best, 3228.49 s
37500000 enq, 27003 curr, 27 best, 3236.36 s
37600000 enq, 26632 curr, 27 best, 3243.98 s
37700000 enq, 28798 curr, 27 best, 3251.07 s
37800000 enq, 32045 curr, 27 best, 3260.29 s
37900000 enq, 32864 curr, 27 best, 3270.70 s
38000000 enq, 31998 curr, 27 best, 3281.47 s
38100000 enq, 31979 curr, 27 best, 3295.18 s
38200000 enq, 32681 curr, 27 best, 3301.77 s
38300000 enq, 32691 curr, 27 best, 3310.56 s
38400000 enq, 35374 curr, 27 best, 3319.17 s
38500000 enq, 38318 curr, 27 best, 3327.75 s
38600000 enq, 34989 curr, 27 best, 3337.18 s
38700000 enq, 39611 curr, 27 best, 3344.83 s
38800000 enq, 40943 curr, 27 best, 3357.60 s
38900000 enq, 39977 curr, 27 best, 3364.85 s
39000000 enq, 42619 curr, 27 best, 3371.55 s
39100000 enq, 44337 curr, 27 best, 3379.81 s
39200000 enq, 48313 curr, 27 best, 3387.32 s
39300000 enq, 49999 curr, 27 best, 3396.57 s
39400000 enq, 47425 curr, 27 best, 3406.67 s
39500000 enq, 47155 curr, 27 best, 3421.76 s
39600000 enq, 47140 curr, 27 best, 3431.74 s
39700000 enq, 51566 curr, 27 best, 3439.64 s
39800000 enq, 49651 curr, 27 best, 3448.90 s
39900000 enq, 49413 curr, 27 best, 3458.81 s
40000000 enq, 43567 curr, 27 best, 3467.61 s
40100000 enq, 52206 curr, 27 best, 3482.62 s
40200000 enq, 60624 curr, 27 best, 3489.04 s
40300000 enq, 59904 curr, 27 best, 3495.63 s
40400000 enq, 65915 curr, 27 best, 3504.00 s
40500000 enq, 65689 curr, 27 best, 3513.94 s
40600000 enq, 70260 curr, 27 best, 3523.43 s
40700000 enq, 72418 curr, 27 best, 3535.86 s
40800000 enq, 73728 curr, 27 best, 3544.10 s
40900000 enq, 75573 curr, 27 best, 3552.09 s
41000000 enq, 65526 curr, 27 best, 3562.19 s
41100000 enq, 82907 curr, 27 best, 3567.99 s
41200000 enq, 82822 curr, 27 best, 3580.39 s
41300000 enq, 83366 curr, 27 best, 3587.57 s
41400000 enq, 90456 curr, 27 best, 3593.92 s
41500000 enq, 90750 curr, 27 best, 3600.43 s
41600000 enq, 91074 curr, 27 best, 3606.75 s
